TimeStamp,Sunspots
1.163549e+09,21.1
1.166227e+09,20.2
1.168906e+09,19.8
1.171411e+09,19
1.174003e+09,17.7
1.176595e+09,16.4
1.179274e+09,14.4
1.181866e+09,12.8
1.184544e+09,11.6
1.187222e+09,9.9
1.189814e+09,9.6
1.192493e+09,9.9
1.195085e+09,9.2
1.197763e+09,7.9
1.200442e+09,6.6
1.203034e+09,5.6
1.205626e+09,5.1
1.208218e+09,5.1
1.210896e+09,5.4
1.213488e+09,4.8
1.216166e+09,4
1.218845e+09,3.8
1.221437e+09,3.2
1.224115e+09,2.4
1.226707e+09,2.3
1.229386e+09,2.2
1.232064e+09,2.5
1.234570e+09,2.7
1.237162e+09,2.9
1.239754e+09,3.3
1.242432e+09,3.5
1.245024e+09,4.1
1.247702e+09,5.5
1.250381e+09,7.4
1.252973e+09,9.5
1.255651e+09,10.9
1.258243e+09,11.7
1.260922e+09,12.7
1.263600e+09,14
1.266106e+09,16.1
1.268698e+09,18.5
1.271290e+09,20.8
1.273968e+09,23.1
1.276560e+09,24.6
1.279238e+09,25.2
1.281917e+09,26.4
1.284509e+09,29.5
1.287187e+09,34.5
1.289779e+09,39.1
1.292458e+09,42.5
1.295136e+09,45.7
1.297642e+09,48.8
1.300234e+09,53.8
1.302826e+09,61.1
1.305504e+09,69.3
1.308096e+09,77.2
1.310774e+09,83.6
1.313453e+09,86.3
1.316045e+09,86.6
1.318723e+09,87.4
1.321315e+09,89.4
1.323994e+09,92.5
1.326672e+09,95.5
1.329264e+09,98.1
1.331856e+09,98.3
1.334448e+09,95.1
1.337126e+09,90.9
1.339718e+09,86.6
1.342397e+09,84.5
1.345075e+09,85.1
1.347667e+09,85.3
1.350346e+09,85.8
1.352938e+09,87.7
1.355616e+09,88.1
1.358294e+09,86.8
1.360800e+09,86.1
1.363392e+09,84.4
1.365984e+09,84.3
1.368662e+09,87
1.371254e+09,90.9
1.373933e+09,94.6
1.376611e+09,99
1.379203e+09,104.6
1.381882e+09,107
1.384474e+09,106.9
1.387152e+09,107.6
1.389830e+09,109.3
1.392336e+09,110.5
1.394928e+09,114.3
1.397520e+09,116.4
1.400198e+09,115
1.402790e+09,114.1
1.405469e+09,112.6
1.408147e+09,108.3
1.410739e+09,101.9
1.413418e+09,97.3
1.416010e+09,94.7
1.418688e+09,92.2
1.421366e+09,89.3
1.423872e+09,86.1
1.426464e+09,82.1
1.429056e+09,78.9
1.431734e+09,76.1
1.434326e+09,72.1
1.437005e+09,68.3
1.439683e+09,66.4
1.442275e+09,65.9
1.444954e+09,64.3
1.447546e+09,61.2
1.450224e+09,57.8
1.452902e+09,54.4
1.455494e+09,52.5
1.458086e+09,50.4
1.460678e+09,47.8
1.463357e+09,44.8
1.465949e+09,41.5
1.468627e+09,38.5
1.471306e+09,36
1.473898e+09,33.2
1.476576e+09,31.5
1.479168e+09,29.9
1.481846e+09,28.5
1.484525e+09,27.8
1.487030e+09,26.5
1.489622e+09,25.7
1.492214e+09,24.8
1.494893e+09,23.3
1.497485e+09,22.2
1.500163e+09,21
1.502842e+09,19.6
1.505434e+09,18.3
1.508112e+09,16.7
1.510704e+09,15.4
1.513382e+09,15.1
1.516061e+09,14.2
1.518566e+09,12.6
1.521158e+09,9.9
1.523750e+09,7.8
1.526429e+09,7.5
1.529021e+09,7.2
1.531699e+09,7
1.534378e+09,6.7
1.536970e+09,6.5
1.539648e+09,6.8
1.542240e+09,6.7
1.544918e+09,6
1.547597e+09,5.4
1.550102e+09,5
1.552694e+09,4.6
1.555286e+09,4.3
1.557965e+09,3.9
1.560557e+09,3.7
1.563235e+09,3.5
1.565914e+09,3.4
1.568506e+09,3.1
1.571184e+09,2.6
1.573776e+09,2
1.576454e+09,1.8
1.579133e+09,2.2
1.581725e+09,2.7
1.584317e+09,3
1.586909e+09,3.6
1.589587e+09,5.6
1.592179e+09,7.9
1.594858e+09,9
1.597536e+09,9.5
1.600128e+09,10.5
1.602806e+09,11.9
1.605398e+09,13.6
1.608077e+09,15.3
1.610755e+09,17.3
1.613261e+09,19
1.615853e+09,21.7
1.618445e+09,24.8
1.621123e+09,25.8
1.623715e+09,27.6
1.626394e+09,31.4
1.629072e+09,35.4
1.631664e+09,40.2
1.634342e+09,45.2
1.636934e+09,50.8
1.639613e+09,55.9
1.642291e+09,60.1
1.644797e+09,64.7
1.647389e+09,68.7
1.649981e+09,73
1.652659e+09,77.4
1.655251e+09,81.1
1.657930e+09,86.7
1.660608e+09,92.6
1.663200e+09,96.5
1.665878e+09,98.9
1.668470e+09,101.2
1.671149e+09,106.7
1.673827e+09,113.3
1.676333e+09,117.8
1.678925e+09,121.1
1.681517e+09,122.9
1.684195e+09,124.2
1.686787e+09,125.3
1.689466e+09,124.6
1.692144e+09,124.3
1.694736e+09,124
1.697414e+09,124.8
1.700006e+09,127.9
1.702685e+09,129.5
1.705363e+09,131.2
1.707955e+09,136.9
1.710547e+09,141.4
1.713139e+09,144.4
1.715818e+09,149.1
1.718410e+09,152.8
1.721088e+09,155
1.723766e+09,156.8
1.726358e+09,159.4
1.729037e+09,160.9
1.731629e+09,157.2
1.734307e+09,151.2
1.736986e+09,146.2
1.739491e+09,139.8
1.742083e+09,135.9
1.744675e+09,133.3
1.747354e+09,128.6
1.749946e+09,124.7
1.752624e+09,122.4
1.755302e+09,118.2
1.757894e+09,112.9
1.760573e+09,108.3
1.778890e+09,103.8
1.781482e+09,104.3
1.784160e+09,104.6
1.786838e+09,104.3
1.789430e+09,103.3
1.792109e+09,101.5
1.794701e+09,99
1.797379e+09,96.3
1.800058e+09,93.1
1.802563e+09,90
1.805155e+09,87.1
1.807747e+09,84.1
1.810426e+09,81.2
1.813018e+09,78.3
1.815696e+09,75.6
1.818374e+09,72.8
1.820966e+09,70.1
1.823645e+09,67.5
1.826237e+09,64.8
1.828915e+09,62.3
1.831594e+09,59.8
1.834186e+09,57.3
1.836778e+09,55
1.839370e+09,52.6
1.842048e+09,50.3
1.844640e+09,48.1
1.847318e+09,45.9
1.849997e+09,43.8
1.852589e+09,41.7
1.855267e+09,39.7
1.857859e+09,37.8
1.860538e+09,35.9
1.863216e+09,34.1
1.865722e+09,32.3
1.868314e+09,30.8
1.870906e+09,29.1
1.873584e+09,27.6
1.876176e+09,26
1.878854e+09,24.6
1.881533e+09,23.2
1.884125e+09,21.9
1.886803e+09,20.6
1.889395e+09,19.4
1.892074e+09,18.3
1.894752e+09,17.1
1.897258e+09,16.1
1.899850e+09,15.2
1.902442e+09,14.2
1.905120e+09,13.3
1.907712e+09,12.4
1.910390e+09,11.7
1.913069e+09,10.9
1.915661e+09,10.1
1.918339e+09,9.5
1.920931e+09,8.8
1.923610e+09,8.2
